english-motorcycle-signs-true-001	<img src="english-motorcycle-signs-true-1.png"><br>Winding road, left turn ahead 	X		english	motorcycle	signs	true
english-motorcycle-signs-true-002	<img src="english-motorcycle-signs-true-2.png"><br>Forked road 	O		english	motorcycle	signs	true
english-motorcycle-signs-true-003	<img src="english-motorcycle-signs-true-3.png"><br>Bump ahead 	X		english	motorcycle	signs	true
english-motorcycle-signs-true-004	<img src="english-motorcycle-signs-true-4.png"><br>Steep downgrade ahead 	O		english	motorcycle	signs	true
english-motorcycle-signs-true-005	<img src="english-motorcycle-signs-true-5.png"><br>Narrow bridge 	O		english	motorcycle	signs	true
english-motorcycle-signs-true-006	<img src="english-motorcycle-signs-true-6.png"><br>Narrow Road	X		english	motorcycle	signs	true
english-motorcycle-signs-true-007	<img src="english-motorcycle-signs-true-7.png"><br>Narrow road 	X		english	motorcycle	signs	true
english-motorcycle-signs-true-008	<img src="english-motorcycle-signs-true-8.png"><br>No-gate railroad crossing 	O		english	motorcycle	signs	true
english-motorcycle-signs-true-009	<img src="english-motorcycle-signs-true-9.png"><br>Watch out for pedestrians 	O		english	motorcycle	signs	true
english-motorcycle-signs-true-010	<img src="english-motorcycle-signs-true-10.png"><br>Watch out for traffic signals 	X		english	motorcycle	signs	true
english-motorcycle-signs-true-011	<img src="english-motorcycle-signs-true-11.png"><br>Bumpy road 	X		english	motorcycle	signs	true
english-motorcycle-signs-true-012	<img src="english-motorcycle-signs-true-12.png"><br>Tunnel ahead 	O		english	motorcycle	signs	true
english-motorcycle-signs-true-013	<img src="english-motorcycle-signs-true-13.png"><br>Bicycles prohibited 	X		english	motorcycle	signs	true
english-motorcycle-signs-true-014	<img src="english-motorcycle-signs-true-14.png"><br>Yield 	O		english	motorcycle	signs	true
english-motorcycle-signs-true-015	<img src="english-motorcycle-signs-true-15.png"><br>Single lane road, pass with extreme caution 	O		english	motorcycle	signs	true
english-motorcycle-signs-true-016	<img src="english-motorcycle-signs-true-16.png"><br>Road forks ahead 	O		english	motorcycle	signs	true
english-motorcycle-signs-true-017	<img src="english-motorcycle-signs-true-17.png"><br>Parking prohibited 	X		english	motorcycle	signs	true
english-motorcycle-signs-true-018	<img src="english-motorcycle-signs-true-18.png"><br>Stop and go 	O		english	motorcycle	signs	true
english-motorcycle-signs-true-019	<img src="english-motorcycle-signs-true-19.png"><br>Do not enter 	X		english	motorcycle	signs	true
english-motorcycle-signs-true-020	<img src="english-motorcycle-signs-true-20.png"><br>U-turns prohibited 	O		english	motorcycle	signs	true
english-motorcycle-signs-true-021	<img src="english-motorcycle-signs-true-21.png"><br>Cars prohibited 	X		english	motorcycle	signs	true
english-motorcycle-signs-true-022	<img src="english-motorcycle-signs-true-22.png"><br>Vehicle width limit 	O		english	motorcycle	signs	true
english-motorcycle-signs-true-023	<img src="english-motorcycle-signs-true-23.png"><br>Cars with four or more wheels and motorcycles prohibited 	O		english	motorcycle	signs	true
english-motorcycle-signs-true-024	<img src="english-motorcycle-signs-true-24.png"><br>Watch out for bicycles 	O		english	motorcycle	signs	true
english-motorcycle-signs-true-025	<img src="english-motorcycle-signs-true-25.png"><br>Watch out for the disabled persons 	O		english	motorcycle	signs	true
english-motorcycle-signs-true-026	<img src="english-motorcycle-signs-true-26.png"><br>No stopping 	O		english	motorcycle	signs	true
english-motorcycle-signs-true-027	<img src="english-motorcycle-signs-true-27.png"><br>No parking 	O		english	motorcycle	signs	true
english-motorcycle-signs-true-028	<img src="english-motorcycle-signs-true-28.png"><br>Maximum speed 	O		english	motorcycle	signs	true
english-motorcycle-signs-true-029	<img src="english-motorcycle-signs-true-29.png"><br>Right lane narrows 	O		english	motorcycle	signs	true
english-motorcycle-signs-true-030	<img src="english-motorcycle-signs-true-30.png"><br>Tri-wheeled vehicles prohibited 	X		english	motorcycle	signs	true
english-motorcycle-signs-true-031	<img src="english-motorcycle-signs-true-31.png"><br>Cars prohibited 	X		english	motorcycle	signs	true
english-motorcycle-signs-true-032	<img src="english-motorcycle-signs-true-32.png"><br>Bicycles prohibited 	X		english	motorcycle	signs	true
english-motorcycle-signs-true-033	<img src="english-motorcycle-signs-true-33.png"><br>Vehicle height limit 	O		english	motorcycle	signs	true
english-motorcycle-signs-true-034	<img src="english-motorcycle-signs-true-34.png"><br>Taxi with no passengers prohibited 	O		english	motorcycle	signs	true
english-motorcycle-signs-true-035	<img src="english-motorcycle-signs-true-35.png"><br>Cars prohibited 	O		english	motorcycle	signs	true
english-motorcycle-signs-true-036	<img src="english-motorcycle-signs-true-36.png"><br>Do not enter 	O		english	motorcycle	signs	true
english-motorcycle-signs-true-037	<img src="english-motorcycle-signs-true-37.png"><br>Right turns prohibited 	O		english	motorcycle	signs	true
english-motorcycle-signs-true-038	<img src="english-motorcycle-signs-true-38.png"><br>Danger 	O		english	motorcycle	signs	true
english-motorcycle-signs-true-039	<img src="english-motorcycle-signs-true-39.png"><br>Watch out for traffic signals 	O		english	motorcycle	signs	true
english-motorcycle-signs-true-040	<img src="english-motorcycle-signs-true-40.png"><br>Watch out for children 	O		english	motorcycle	signs	true
english-motorcycle-signs-true-041	<img src="english-motorcycle-signs-true-41.png"><br>Watch out for children 	X		english	motorcycle	signs	true
english-motorcycle-signs-true-042	<img src="english-motorcycle-signs-true-42.png"><br>Bump ahead 	O		english	motorcycle	signs	true
english-motorcycle-signs-true-043	<img src="english-motorcycle-signs-true-43.png"><br>Winding road, right turn ahead 	O		english	motorcycle	signs	true
english-motorcycle-signs-true-044	<img src="english-motorcycle-signs-true-44.png"><br>Two-way 	O		english	motorcycle	signs	true
english-motorcycle-signs-true-045	<img src="english-motorcycle-signs-true-45.png"><br>First-aid station 	X		english	motorcycle	signs	true
